home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff
Atlanta,Washington,04/28/2017,L,48,99,35,26,9,4,22,22,24,11,37-78,.474,9-32,.281,16-19,.842,107,115,33,21,16,7,16,22,25,8,42-78,.538,10-24,.417,21-25,.840,136
Atlanta,Washington,04/24/2017,W,48,111,49,24,7,1,12,20,37,12,40-90,.444,12-31,.387,19-25,.760,124,101,46,19,7,5,14,25,37,9,36-85,.424,11-32,.344,18-23,.783,110
Atlanta,Washington,04/22/2017,W,48,116,50,26,6,5,11,17,39,11,44-89,.494,9-25,.360,19-32,.594,134,98,42,16,6,4,15,28,36,6,37-89,.416,7-29,.241,17-20,.850,96
Atlanta,Charlotte,04/11/2017,W,48,103,50,30,6,4,16,17,39,11,41-79,.519,7-27,.259,14-18,.778,135,76,40,16,11,1,13,17,25,15,29-88,.330,3-23,.130,15-19,.789,68
Atlanta,Cleveland,04/09/2017,W,53,126,45,31,8,4,12,22,35,10,44-94,.468,9-31,.290,29-37,.784,144,125,53,28,4,3,14,27,40,13,45-98,.459,19-46,.413,16-20,.800,142
Atlanta,Boston,04/06/2017,W,48,123,52,26,7,4,17,30,39,13,44-89,.494,11-23,.478,24-34,.706,140,116,38,28,9,4,12,29,28,10,37-90,.411,15-43,.349,27-34,.794,123
Atlanta,Phoenix,03/28/2017,W,48,95,51,24,5,6,19,23,42,9,34-85,.400,6-27,.222,21-29,.724,103,91,48,25,12,6,15,31,34,14,35-96,.365,7-31,.226,14-24,.583,96
Atlanta,Brooklyn,03/26/2017,L,48,92,58,16,10,3,20,19,32,26,34-98,.347,5-27,.185,19-32,.594,82,107,50,21,13,7,17,25,38,12,38-86,.442,6-22,.273,25-30,.833,128
Atlanta,Portland,03/18/2017,L,48,97,35,22,13,7,13,12,23,12,32-88,.364,7-26,.269,26-32,.812,99,113,54,23,9,9,20,22,41,13,44-87,.506,8-18,.444,17-19,.895,143
Atlanta,Memphis,03/16/2017,L,48,91,38,19,6,9,17,17,30,8,29-71,.408,8-27,.296,25-34,.735,95,103,48,29,7,5,11,25,32,16,39-92,.424,10-28,.357,15-18,.833,125
Atlanta,Toronto,03/10/2017,W,48,105,45,24,8,7,21,20,37,8,39-75,.520,8-22,.364,19-29,.655,122,99,46,19,17,5,11,28,30,16,37-92,.402,4-25,.160,21-27,.778,114
Atlanta,Brooklyn,03/08/2017,W,48,110,47,19,12,7,15,22,36,11,41-95,.432,4-20,.200,24-32,.750,118,105,40,28,7,11,22,25,35,5,37-80,.463,11-34,.324,20-25,.800,121
Atlanta,Golden State,03/06/2017,L,48,111,47,19,6,6,19,23,33,14,38-82,.463,13-28,.464,22-31,.710,117,119,43,33,10,4,14,22,30,13,41-87,.471,20-44,.455,17-22,.773,144
Atlanta,Indiana,03/05/2017,L,48,96,44,21,12,1,14,19,33,11,34-77,.442,9-27,.333,19-31,.613,105,97,44,24,6,4,15,22,35,9,35-78,.449,15-33,.455,12-21,.571,108
Atlanta,Cleveland,03/03/2017,L,48,130,43,30,7,4,12,15,32,11,49-91,.538,10-26,.385,22-30,.733,152,135,33,31,7,5,14,24,28,5,47-86,.547,25-46,.543,16-20,.800,154
Atlanta,Dallas,03/01/2017,W,48,100,34,24,12,4,22,19,30,4,36-64,.562,10-21,.476,18-24,.750,118,95,33,22,10,5,20,20,23,10,35-77,.455,14-33,.424,11-13,.846,101
Atlanta,Miami,02/24/2017,L,48,90,45,14,7,7,10,12,37,8,30-79,.380,6-20,.300,24-36,.667,92,108,54,30,7,5,12,27,39,15,40-99,.404,17-37,.459,11-13,.846,131
Atlanta,Denver,02/08/2017,W,48,117,48,31,6,4,10,18,36,12,47-93,.505,8-27,.296,15-18,.833,147,106,49,25,8,4,10,20,28,21,40-100,.400,13-44,.295,13-21,.619,114
Atlanta,Utah,02/06/2017,L,48,95,30,16,6,3,12,18,23,7,33-74,.446,6-17,.353,23-32,.719,88,120,44,31,9,7,12,23,35,9,49-80,.613,10-26,.385,12-18,.667,162
Atlanta,Orlando,02/04/2017,W,48,113,48,28,8,2,15,20,38,10,41-78,.526,10-28,.357,21-27,.778,141,86,33,17,8,4,13,19,26,7,27-78,.346,7-27,.259,25-28,.893,81
Atlanta,New York,01/29/2017,W,68,142,64,36,4,2,14,24,47,17,52-119,.437,10-31,.323,28-40,.700,155,139,63,32,9,11,12,39,48,15,51-128,.398,18-51,.353,19-23,.826,161
Atlanta,Washington,01/27/2017,L,48,86,41,18,9,8,19,16,33,8,30-83,.361,9-31,.290,17-25,.680,82,112,52,26,12,10,18,24,39,13,43-89,.483,13-31,.419,13-19,.684,142
Atlanta,L.A.Clippers,01/23/2017,L,48,105,40,28,8,2,8,17,32,8,37-88,.420,9-29,.310,22-26,.846,120,115,46,23,4,8,11,19,36,10,42-84,.500,14-24,.583,17-22,.773,138
Atlanta,Philadelphia,01/21/2017,W,48,110,48,24,7,5,13,18,37,11,45-91,.495,7-20,.350,13-23,.565,125,93,38,27,8,6,21,19,32,6,33-78,.423,12-29,.414,15-18,.833,103
