,home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgpct,H_3pct,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgpct,A_3pct,A_ftpct,A_eff,home_team_idx,away_team_idx,H_FGM,H_FGA,A_FGM,A_FGA,H_3M,H_3A,A_3M,A_3A,H_FTM,H_FTA,A_FTM,A_FTA,reg_season,pre_allstar
0,Atlanta,Cleveland,2016-05-08,L,48,99,42,22,9,7,12,16,33,9,0.48200000000000004,0.29,0.7140000000000001,120,100,41,23,6,7,14,14,27,14,0.43200000000000005,0.43200000000000005,0.615,108,1,5,40,83,38,88,9,31,16,37,10,14,8,13,False,False
1,Atlanta,Cleveland,2016-05-06,L,48,108,28,29,8,7,14,21,22,6,0.488,0.47100000000000003,0.833,121,121,55,26,9,1,18,21,37,18,0.494,0.5379999999999999,0.593,140,1,5,41,84,42,85,16,34,21,39,10,12,16,27,False,False
2,Atlanta,Boston,2016-04-26,W,48,110,51,30,13,3,12,17,38,13,0.43799999999999994,0.389,0.75,137,83,44,19,5,6,20,17,34,10,0.377,0.24100000000000002,0.72,82,1,2,42,96,29,77,14,36,7,29,12,16,18,25,False,False
3,Atlanta,Boston,2016-04-19,W,48,89,49,20,7,15,15,16,46,3,0.39,0.379,0.875,113,72,43,16,5,10,14,15,33,10,0.318,0.179,0.917,71,1,2,32,82,28,88,11,29,5,28,14,16,11,12,False,False
4,Atlanta,Boston,2016-04-16,W,48,102,53,23,4,9,11,20,40,13,0.40700000000000003,0.185,0.7709999999999999,121,101,50,27,6,6,10,32,35,15,0.363,0.314,0.8420000000000001,112,1,2,35,86,37,102,5,27,11,35,27,35,16,19,False,False
5,Atlanta,Boston,2016-04-09,W,48,118,44,31,10,10,17,22,39,5,0.523,0.515,0.818,152,107,40,26,10,6,15,21,30,10,0.444,0.39299999999999996,0.667,116,1,2,46,88,40,90,17,33,11,28,9,11,16,24,True,False
6,Atlanta,Toronto,2016-04-07,W,48,95,41,23,4,12,13,19,36,5,0.434,0.375,0.81,115,87,46,16,10,4,11,16,38,8,0.381,0.381,0.75,95,1,28,33,76,32,84,12,32,8,21,17,21,15,20,True,False
7,Atlanta,Phoenix,2016-04-05,W,48,103,50,26,16,3,16,21,37,13,0.41100000000000003,0.324,0.737,121,90,51,19,13,4,24,19,40,11,0.37,0.387,0.6,90,1,24,39,95,30,81,11,34,12,31,14,19,18,30,True,False
8,Atlanta,Cleveland,2016-04-01,L,53,108,48,25,5,8,15,27,43,5,0.4,0.3,0.885,119,110,57,27,9,6,12,23,46,11,0.39799999999999996,0.316,0.645,127,1,5,38,95,39,98,9,30,12,38,23,26,20,31,True,False
9,Atlanta,Milwaukee,2016-03-25,W,48,101,45,26,10,6,11,21,28,17,0.423,0.156,0.8240000000000001,118,90,49,16,4,9,15,16,33,16,0.41700000000000004,0.231,0.654,95,1,16,41,97,35,84,5,32,3,13,14,17,17,26,True,False
10,Atlanta,Washington,2016-03-21,L,48,102,33,23,5,6,14,15,31,2,0.48700000000000004,0.39399999999999996,0.765,111,117,44,27,10,3,9,17,35,9,0.505,0.52,0.6,139,1,30,38,78,46,91,13,33,13,25,13,17,12,20,True,False
11,Atlanta,Houston,2016-03-19,W,48,109,40,32,12,6,16,20,31,9,0.5,0.368,0.583,134,97,51,15,11,3,17,17,36,15,0.39299999999999996,0.217,0.8390000000000001,104,1,10,44,88,33,84,14,38,5,23,7,12,26,31,True,False
12,Atlanta,Denver,2016-03-17,W,48,116,40,32,5,8,12,16,33,7,0.5,0.462,0.857,145,98,39,22,6,4,14,22,30,9,0.44799999999999995,0.273,0.8240000000000001,104,1,7,40,80,39,87,12,26,6,22,24,28,14,17,True,False
13,Atlanta,Indiana,2016-03-13,W,48,104,50,27,11,6,15,13,41,9,0.47100000000000003,0.5,0.9,137,75,38,24,9,5,16,14,31,7,0.379,0.20800000000000002,0.5710000000000001,78,1,11,40,85,33,87,15,30,5,24,9,10,4,7,True,False
14,Atlanta,Memphis,2016-03-12,W,48,95,47,27,9,12,11,14,39,8,0.429,0.324,0.706,126,83,58,15,10,5,16,14,38,20,0.34700000000000003,0.261,0.7859999999999999,90,1,14,36,84,33,95,11,34,6,23,12,17,11,14,True,False
15,Atlanta,Charlotte,2016-02-28,W,48,87,48,29,4,5,15,19,42,6,0.494,0.47100000000000003,0.6,117,76,41,16,7,4,6,12,31,10,0.33299999999999996,0.21899999999999997,0.652,76,1,3,38,77,27,81,8,17,7,32,3,5,15,23,True,False
16,Atlanta,Chicago,2016-02-26,W,48,103,48,28,14,12,11,21,35,13,0.41600000000000004,0.20600000000000002,0.917,140,88,49,19,3,2,20,20,32,17,0.364,0.25,0.8640000000000001,82,1,4,37,89,32,88,7,34,5,20,22,24,19,22,True,False
17,Atlanta,Golden State,2016-02-22,L,48,92,47,23,7,7,17,17,39,8,0.419,0.294,0.625,103,102,43,30,14,8,13,17,37,6,0.43799999999999994,0.311,0.833,132,1,9,36,86,39,89,10,34,14,45,10,16,10,12,True,False
18,Atlanta,Milwaukee,2016-02-20,L,58,109,49,31,11,8,16,27,39,10,0.415,0.22,0.667,124,117,65,23,12,10,17,21,48,17,0.442,0.17600000000000002,0.688,142,1,16,44,106,46,104,9,41,3,17,12,18,22,32,True,False
19,Atlanta,Miami,2016-02-19,L,48,111,42,27,7,4,21,23,34,8,0.47100000000000003,0.444,1.0,124,115,46,27,13,1,14,12,36,10,0.5,0.4,0.679,135,1,15,41,87,44,88,16,36,8,20,13,13,19,28,True,False
20,Atlanta,Orlando,2016-02-08,L,53,110,47,31,9,4,14,20,39,8,0.467,0.414,0.6,130,117,47,37,11,8,13,22,41,6,0.495,0.31,0.727,154,1,,43,92,46,93,12,29,9,29,12,20,16,22,True,True
21,Atlanta,Indiana,2016-02-05,W,48,102,32,29,10,5,15,16,29,3,0.513,0.37,0.7,120,96,53,23,6,4,19,18,34,19,0.418,0.419,0.778,108,1,11,39,76,38,91,10,27,13,31,14,20,7,9,True,True
22,Atlanta,Dallas,2016-02-01,W,48,112,50,29,2,6,15,25,45,5,0.525,0.4,0.737,141,97,37,14,5,2,6,18,27,10,0.365,0.26899999999999996,0.737,85,1,6,42,80,31,85,14,35,7,26,14,19,28,38,True,True
23,Atlanta,L.A.Clippers,2016-01-27,L,48,83,49,21,6,3,22,17,41,8,0.418,0.435,0.5,87,85,46,18,16,5,11,14,37,9,0.38799999999999996,0.185,0.667,100,1,,33,79,33,85,10,23,5,27,7,14,14,21,True,True
24,Atlanta,Orlando,2016-01-18,W,48,98,47,31,9,6,17,20,43,4,0.512,0.474,0.7,132,81,42,21,11,5,13,13,31,11,0.345,0.273,0.75,85,1,,41,80,30,87,9,19,6,22,7,10,15,20,True,True
25,Atlanta,Brooklyn,2016-01-16,W,48,114,40,34,14,5,10,20,35,5,0.557,0.276,0.75,156,86,36,22,5,3,17,17,29,7,0.436,0.3,0.632,84,1,18,44,79,34,78,8,29,6,20,18,24,12,19,True,True
26,Atlanta,Chicago,2016-01-09,W,48,120,40,33,15,13,15,22,32,8,0.521,0.41700000000000004,0.8,158,105,46,16,7,6,21,13,34,12,0.434,0.389,0.8390000000000001,107,1,4,49,94,36,83,10,24,7,18,12,15,26,31,True,True
27,Atlanta,New York,2016-01-05,L,48,101,41,22,3,4,13,24,27,14,0.425,0.385,0.632,101,107,46,20,7,6,9,20,35,11,0.47600000000000003,0.278,0.917,131,1,20,37,87,40,84,15,39,5,18,12,19,22,24,True,True
28,Atlanta,New York,2015-12-26,W,48,117,37,33,13,4,9,17,27,10,0.534,0.32,0.833,151,98,42,25,6,8,22,15,30,12,0.48100000000000004,0.292,0.765,111,1,20,47,88,39,81,8,25,7,24,15,18,13,17,True,True
29,Atlanta,Detroit,2015-12-23,W,48,107,42,25,8,4,13,24,32,10,0.483,0.3,0.75,122,100,46,18,7,9,14,20,33,13,0.42700000000000005,0.33299999999999996,0.515,99,1,8,43,89,38,89,6,20,7,21,15,20,17,33,True,True
