home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff
Atlanta,Cleveland,05/08/2016,L,48,99,42,22,9,7,12,16,33,9,40-83,.482,9-31,.290,10-14,.714,120,100,41,23,6,7,14,14,27,14,38-88,.432,16-37,.432,8-13,.615,108
Atlanta,Cleveland,05/06/2016,L,48,108,28,29,8,7,14,21,22,6,41-84,.488,16-34,.471,10-12,.833,121,121,55,26,9,1,18,21,37,18,42-85,.494,21-39,.538,16-27,.593,140
Atlanta,Boston,04/26/2016,W,48,110,51,30,13,3,12,17,38,13,42-96,.438,14-36,.389,12-16,.750,137,83,44,19,5,6,20,17,34,10,29-77,.377,7-29,.241,18-25,.720,82
Atlanta,Boston,04/19/2016,W,48,89,49,20,7,15,15,16,46,3,32-82,.390,11-29,.379,14-16,.875,113,72,43,16,5,10,14,15,33,10,28-88,.318,5-28,.179,11-12,.917,71
Atlanta,Boston,04/16/2016,W,48,102,53,23,4,9,11,20,40,13,35-86,.407,5-27,.185,27-35,.771,121,101,50,27,6,6,10,32,35,15,37-102,.363,11-35,.314,16-19,.842,112
Atlanta,Boston,04/09/2016,W,48,118,44,31,10,10,17,22,39,5,46-88,.523,17-33,.515,9-11,.818,152,107,40,26,10,6,15,21,30,10,40-90,.444,11-28,.393,16-24,.667,116
Atlanta,Toronto,04/07/2016,W,48,95,41,23,4,12,13,19,36,5,33-76,.434,12-32,.375,17-21,.810,115,87,46,16,10,4,11,16,38,8,32-84,.381,8-21,.381,15-20,.750,95
Atlanta,Phoenix,04/05/2016,W,48,103,50,26,16,3,16,21,37,13,39-95,.411,11-34,.324,14-19,.737,121,90,51,19,13,4,24,19,40,11,30-81,.370,12-31,.387,18-30,.600,90
Atlanta,Cleveland,04/01/2016,L,53,108,48,25,5,8,15,27,43,5,38-95,.400,9-30,.300,23-26,.885,119,110,57,27,9,6,12,23,46,11,39-98,.398,12-38,.316,20-31,.645,127
Atlanta,Milwaukee,03/25/2016,W,48,101,45,26,10,6,11,21,28,17,41-97,.423,5-32,.156,14-17,.824,118,90,49,16,4,9,15,16,33,16,35-84,.417,3-13,.231,17-26,.654,95
Atlanta,Washington,03/21/2016,L,48,102,33,23,5,6,14,15,31,2,38-78,.487,13-33,.394,13-17,.765,111,117,44,27,10,3,9,17,35,9,46-91,.505,13-25,.520,12-20,.600,139
Atlanta,Houston,03/19/2016,W,48,109,40,32,12,6,16,20,31,9,44-88,.500,14-38,.368,7-12,.583,134,97,51,15,11,3,17,17,36,15,33-84,.393,5-23,.217,26-31,.839,104
Atlanta,Denver,03/17/2016,W,48,116,40,32,5,8,12,16,33,7,40-80,.500,12-26,.462,24-28,.857,145,98,39,22,6,4,14,22,30,9,39-87,.448,6-22,.273,14-17,.824,104
Atlanta,Indiana,03/13/2016,W,48,104,50,27,11,6,15,13,41,9,40-85,.471,15-30,.500,9-10,.900,137,75,38,24,9,5,16,14,31,7,33-87,.379,5-24,.208,4-7,.571,78
Atlanta,Memphis,03/12/2016,W,48,95,47,27,9,12,11,14,39,8,36-84,.429,11-34,.324,12-17,.706,126,83,58,15,10,5,16,14,38,20,33-95,.347,6-23,.261,11-14,.786,90
Atlanta,Charlotte,02/28/2016,W,48,87,48,29,4,5,15,19,42,6,38-77,.494,8-17,.471,3-5,.600,117,76,41,16,7,4,6,12,31,10,27-81,.333,7-32,.219,15-23,.652,76
Atlanta,Chicago,02/26/2016,W,48,103,48,28,14,12,11,21,35,13,37-89,.416,7-34,.206,22-24,.917,140,88,49,19,3,2,20,20,32,17,32-88,.364,5-20,.250,19-22,.864,82
Atlanta,Golden State,02/22/2016,L,48,92,47,23,7,7,17,17,39,8,36-86,.419,10-34,.294,10-16,.625,103,102,43,30,14,8,13,17,37,6,39-89,.438,14-45,.311,10-12,.833,132
Atlanta,Milwaukee,02/20/2016,L,58,109,49,31,11,8,16,27,39,10,44-106,.415,9-41,.220,12-18,.667,124,117,65,23,12,10,17,21,48,17,46-104,.442,3-17,.176,22-32,.688,142
Atlanta,Miami,02/19/2016,L,48,111,42,27,7,4,21,23,34,8,41-87,.471,16-36,.444,13-13,1.00,124,115,46,27,13,1,14,12,36,10,44-88,.500,8-20,.400,19-28,.679,135
Atlanta,Orlando,02/08/2016,L,53,110,47,31,9,4,14,20,39,8,43-92,.467,12-29,.414,12-20,.600,130,117,47,37,11,8,13,22,41,6,46-93,.495,9-29,.310,16-22,.727,154
Atlanta,Indiana,02/05/2016,W,48,102,32,29,10,5,15,16,29,3,39-76,.513,10-27,.370,14-20,.700,120,96,53,23,6,4,19,18,34,19,38-91,.418,13-31,.419,7-9,.778,108
Atlanta,Dallas,02/01/2016,W,48,112,50,29,2,6,15,25,45,5,42-80,.525,14-35,.400,14-19,.737,141,97,37,14,5,2,6,18,27,10,31-85,.365,7-26,.269,28-38,.737,85
Atlanta,L.A.Clippers,01/27/2016,L,48,83,49,21,6,3,22,17,41,8,33-79,.418,10-23,.435,7-14,.500,87,85,46,18,16,5,11,14,37,9,33-85,.388,5-27,.185,14-21,.667,100
Atlanta,Orlando,01/18/2016,W,48,98,47,31,9,6,17,20,43,4,41-80,.512,9-19,.474,7-10,.700,132,81,42,21,11,5,13,13,31,11,30-87,.345,6-22,.273,15-20,.750,85
Atlanta,Brooklyn,01/16/2016,W,48,114,40,34,14,5,10,20,35,5,44-79,.557,8-29,.276,18-24,.750,156,86,36,22,5,3,17,17,29,7,34-78,.436,6-20,.300,12-19,.632,84
Atlanta,Chicago,01/09/2016,W,48,120,40,33,15,13,15,22,32,8,49-94,.521,10-24,.417,12-15,.800,158,105,46,16,7,6,21,13,34,12,36-83,.434,7-18,.389,26-31,.839,107
Atlanta,New York,01/05/2016,L,48,101,41,22,3,4,13,24,27,14,37-87,.425,15-39,.385,12-19,.632,101,107,46,20,7,6,9,20,35,11,40-84,.476,5-18,.278,22-24,.917,131
Atlanta,New York,12/26/2015,W,48,117,37,33,13,4,9,17,27,10,47-88,.534,8-25,.320,15-18,.833,151,98,42,25,6,8,22,15,30,12,39-81,.481,7-24,.292,13-17,.765,111
Atlanta,Detroit,12/23/2015,W,48,107,42,25,8,4,13,24,32,10,43-89,.483,6-20,.300,15-20,.750,122,100,46,18,7,9,14,20,33,13,38-89,.427,7-21,.333,17-33,.515,99
Atlanta,Portland,12/21/2015,W,48,106,31,21,8,1,10,17,29,2,37-77,.481,9-29,.310,23-28,.821,112,97,50,24,5,4,18,20,36,14,38-81,.469,5-24,.208,16-22,.727,113
Atlanta,Philadelphia,12/16/2015,W,48,127,25,32,11,7,12,21,23,2,48-78,.615,10-21,.476,21-24,.875,157,106,32,20,5,2,22,21,25,7,39-75,.520,12-26,.462,16-24,.667,99
Atlanta,Miami,12/14/2015,L,48,88,37,25,7,4,14,21,30,7,33-84,.393,8-33,.242,14-15,.933,95,100,54,26,6,5,15,16,39,15,40-89,.449,7-16,.438,13-15,.867,125
Atlanta,San Antonio,12/12/2015,L,48,78,33,21,15,3,17,15,26,7,30-80,.375,5-24,.208,13-16,.812,80,103,49,26,11,2,23,16,43,6,36-74,.486,10-20,.500,21-22,.955,129
Atlanta,L.A.Lakers,12/04/2015,W,48,100,43,24,11,9,17,11,34,9,37-74,.500,10-26,.385,16-20,.800,129,87,42,19,10,7,16,14,27,15,32-86,.372,13-27,.481,10-13,.769,92
Atlanta,Toronto,12/02/2015,L,48,86,43,22,8,7,12,20,30,13,33-90,.367,8-27,.296,12-16,.750,93,96,50,12,10,5,12,18,42,8,36-79,.456,6-25,.240,18-24,.750,112
Atlanta,Oklahoma City,11/30/2015,W,48,106,51,23,9,8,12,15,37,14,39-90,.433,10-28,.357,18-20,.900,132,100,48,19,8,8,11,19,35,13,37-93,.398,7-19,.368,19-22,.864,113
Atlanta,Boston,11/24/2015,W,48,121,43,33,8,7,20,25,37,6,45-80,.562,12-24,.500,19-22,.864,154,97,33,23,14,2,16,19,23,10,34-82,.415,9-21,.429,20-26,.769,99
Atlanta,Sacramento,11/18/2015,W,48,103,45,23,9,6,11,15,33,12,38-89,.427,9-30,.300,18-24,.750,118,97,52,26,7,1,20,22,39,13,38-86,.442,5-16,.312,16-18,.889,113
Atlanta,Utah,11/15/2015,L,48,96,33,26,9,5,15,16,25,8,37-76,.487,8-22,.364,14-17,.824,112,97,40,21,7,7,17,15,30,10,39-76,.513,7-21,.333,12-17,.706,113
Atlanta,New Orleans,11/11/2015,W,48,106,44,26,10,7,12,16,36,8,42-86,.488,10-26,.385,12-16,.750,133,98,40,21,6,0,19,21,32,8,37-83,.446,14-29,.483,10-15,.667,95
Atlanta,Minnesota,11/09/2015,L,48,107,27,30,13,6,17,19,23,4,44-86,.512,13-31,.419,6-7,.857,123,117,40,27,10,5,19,18,32,8,46-80,.575,7-15,.467,18-22,.818,142
