home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff,index,home_team_idx
Atlanta,Washington,04/28,L,48,99,35,26,9,4,22,22,24,11,37-78,0.474,9-32,0.281,16-19,0.8420000000000001,107,115,33,21,16,7,16,22,25,8,42-78,0.5379999999999999,10-24,0.41700000000000004,21-25,0.84,136,Atlanta,1
Atlanta,Washington,04/24,W,48,111,49,24,7,1,12,20,37,12,40-90,0.444,12-31,0.387,19-25,0.76,124,101,46,19,7,5,14,25,37,9,36-85,0.424,11-32,0.344,18-23,0.7829999999999999,110,Atlanta,1
Atlanta,Washington,04/22,W,48,116,50,26,6,5,11,17,39,11,44-89,0.494,9-25,0.36,19-32,0.594,134,98,42,16,6,4,15,28,36,6,37-89,0.41600000000000004,7-29,0.24100000000000002,17-20,0.85,96,Atlanta,1
Atlanta,Charlotte,04/11,W,48,103,50,30,6,4,16,17,39,11,41-79,0.519,7-27,0.259,14-18,0.778,135,76,40,16,11,1,13,17,25,15,29-88,0.33,3-23,0.13,15-19,0.789,68,Atlanta,1
Atlanta,Cleveland,04/09,W,53,126,45,31,8,4,12,22,35,10,44-94,0.46799999999999997,9-31,0.29,29-37,0.784,144,125,53,28,4,3,14,27,40,13,45-98,0.45899999999999996,19-46,0.413,16-20,0.8,142,Atlanta,1
Atlanta,Boston,04/06,W,48,123,52,26,7,4,17,30,39,13,44-89,0.494,11-23,0.478,24-34,0.706,140,116,38,28,9,4,12,29,28,10,37-90,0.41100000000000003,15-43,0.349,27-34,0.794,123,Atlanta,1
Atlanta,Phoenix,03/28,W,48,95,51,24,5,6,19,23,42,9,34-85,0.4,6-27,0.222,21-29,0.7240000000000001,103,91,48,25,12,6,15,31,34,14,35-96,0.365,7-31,0.226,14-24,0.583,96,Atlanta,1
Atlanta,Brooklyn,03/26,L,48,92,58,16,10,3,20,19,32,26,34-98,0.34700000000000003,5-27,0.185,19-32,0.594,82,107,50,21,13,7,17,25,38,12,38-86,0.442,6-22,0.273,25-30,0.833,128,Atlanta,1
Atlanta,Portland,03/18,L,48,97,35,22,13,7,13,12,23,12,32-88,0.364,7-26,0.26899999999999996,26-32,0.812,99,113,54,23,9,9,20,22,41,13,44-87,0.506,8-18,0.444,17-19,0.895,143,Atlanta,1
Atlanta,Memphis,03/16,L,48,91,38,19,6,9,17,17,30,8,29-71,0.408,8-27,0.29600000000000004,25-34,0.735,95,103,48,29,7,5,11,25,32,16,39-92,0.424,10-28,0.35700000000000004,15-18,0.833,125,Atlanta,1
Atlanta,Toronto,03/10,W,48,105,45,24,8,7,21,20,37,8,39-75,0.52,8-22,0.364,19-29,0.655,122,99,46,19,17,5,11,28,30,16,37-92,0.402,4-25,0.16,21-27,0.778,114,Atlanta,1
Atlanta,Brooklyn,03/08,W,48,110,47,19,12,7,15,22,36,11,41-95,0.43200000000000005,4-20,0.2,24-32,0.75,118,105,40,28,7,11,22,25,35,5,37-80,0.46299999999999997,11-34,0.324,20-25,0.8,121,Atlanta,1
Atlanta,Golden State,03/06,L,48,111,47,19,6,6,19,23,33,14,38-82,0.46299999999999997,13-28,0.46399999999999997,22-31,0.71,117,119,43,33,10,4,14,22,30,13,41-87,0.47100000000000003,20-44,0.455,17-22,0.773,144,Atlanta,1
