"","team_idx","index","team_abbv"
"1",1,"Atlanta","ATL"
"2",2,"Boston","BOS"
"3",3,"Charlotte","CHA"
"4",4,"Chicago","CHI"
"5",5,"Cleveland","CLE"
"6",6,"Dallas","DAL"
"7",7,"Denver","DEN"
"8",8,"Detroit","DET"
"9",9,"Golden State","GSW"
"10",10,"Houston","HOU"
"11",11,"Indiana","IND"
"12",12,"L.A. Clippers","LAC"
"13",13,"L.A. Lakers","LAL"
"14",14,"Memphis","MEM"
"15",15,"Miami","MIA"
"16",16,"Milwaukee","MIL"
"17",17,"Minnesota","MIN"
"18",18,"Brooklyn","BKN"
"19",19,"New Orleans","NOP"
"20",20,"New York","NYK"
"21",21,"Oklahoma City","OKC"
"22",22,"Orlando","ORL"
"23",23,"Philadelphia","PHI"
"24",24,"Phoenix","PHX"
"25",25,"Portland","POR"
"26",26,"Sacramento","SAC"
"27",27,"San Antonio","SAS"
"28",28,"Toronto","TOR"
"29",29,"Utah","UTA"
"30",30,"Washington","WAS"
