"","away_team","home_team","date","result","min","H_pts","H_reb","H_ast","H_stl","H_blk","H_to","H_pf","H_dreb","H_oreb","H_fgpct","H_3pct","H_ftpct","H_eff","A_pts","A_reb","A_ast","A_stl","A_blk","A_to","A_pf","A_dreb","A_oreb","A_fgpct","A_3pct","A_ftpct","A_eff","H_FGM","H_FGA","A_FGM","A_FGA","H_3M","H_3A","A_3M","A_3A","H_FTM","H_FTA","A_FTM","A_FTA","reg_season","pre_allstar","away_team_idx","home_team_idx","team_abbv","away_team_idx"
"1","Dallas","Denver","2016-03-28","L",48,88,44,20,3,4,21,20,38,6,0.443,0.375,0.895,97,97,34,23,14,6,3,20,25,9,0.409,0.344,0.933,118,31,70,36,88,9,24,11,32,17,19,14,15,TRUE,FALSE,1,2,"DEN",1
"2","Dallas","Denver","2016-03-06","W",53,116,58,25,8,5,11,25,41,17,0.411,0.346,0.76,132,114,46,29,5,8,12,19,38,8,0.441,0.39,0.8,134,44,107,41,93,9,26,16,41,19,25,16,20,TRUE,FALSE,1,2,"DEN",1
"3","Dallas","Golden State","2016-03-25","W",48,128,40,30,8,10,7,16,33,7,0.489,0.467,0.913,162,120,51,31,3,6,11,19,36,15,0.448,0.514,0.762,142,43,88,43,96,21,45,18,35,21,23,16,21,TRUE,FALSE,1,3,"GSW",1
"4","Dallas","Golden State","2016-01-27","W",48,127,40,33,5,4,9,18,33,7,0.58,0.483,0.905,164,107,34,20,4,0,10,21,26,8,0.506,0.355,0.667,108,47,81,44,87,14,29,11,31,19,21,8,12,TRUE,TRUE,1,3,"GSW",1
"5","Dallas","Houston","2016-01-24","W",48,115,40,27,9,7,7,21,31,9,0.483,0.341,0.667,138,104,36,17,4,4,14,20,28,8,0.456,0.5,0.773,103,43,89,36,79,15,44,15,30,14,21,17,22,TRUE,TRUE,1,4,"HOU",1
"6","Dallas","Houston","2015-11-14","L",48,98,43,22,9,5,12,23,31,12,0.381,0.265,0.781,106,110,46,24,6,7,11,21,37,9,0.478,0.286,0.762,130,32,84,43,90,9,34,8,28,25,32,16,21,TRUE,TRUE,1,4,"HOU",1
"7","Dallas","L.A. Clippers","2016-04-10","W",48,98,42,25,11,6,10,20,36,6,0.487,0.5,0.405,111,91,47,18,6,5,14,29,42,5,0.405,0.267,0.697,99,37,76,30,74,9,18,8,30,15,37,23,33,TRUE,FALSE,1,5,"LAC",1
"8","Dallas","L.A. Clippers","2015-10-29","W",48,104,53,21,6,8,8,17,45,8,0.437,0.258,0.606,122,88,55,22,4,2,12,26,41,14,0.361,0.2,0.8,94,38,87,35,97,8,31,6,30,20,33,12,15,TRUE,TRUE,1,5,"LAC",1
"9","Dallas","L.A. Lakers","2016-01-26","L",48,90,47,15,4,7,12,25,39,8,0.405,0.28,0.821,102,92,35,21,5,1,6,20,30,5,0.434,0.24,0.769,99,30,74,33,76,7,25,6,25,23,28,20,26,TRUE,TRUE,1,6,"LAL",1
"10","Dallas","L.A. Lakers","2015-11-01","L",48,93,42,18,8,9,12,20,34,8,0.365,0.294,0.75,97,103,49,28,5,4,11,22,41,8,0.46,0.367,0.75,127,31,85,40,87,10,34,11,30,21,28,12,16,TRUE,TRUE,1,6,"LAL",1
